"","status","totalResults","articles.source.id","articles.source.name","articles.author","articles.title","articles.description","articles.url","articles.urlToImage","articles.publishedAt","articles.content"
"11","ok",20725,NA,The Guardian,"Caitlin Cassidy","‘Rainbow colours and legs for days’: Australian fly species named after drag star RuPaul","CSIRO entomologist Bryan Lessard says the soldier flies look like ‘little gems buzzing around the forest floor’<ul><li>Get our free news app; get our morning email briefing</li></ul>The first insect Bryan Lessard named after a pop culture icon was the Beyoncé…","https://amp.theguardian.com/australia-news/2021/sep/15/rainbow-colours-and-legs-for-days-australian-fly-species-named-after-drag-star-rupaul","https://i.guim.co.uk/img/media/295c8c333af28acbc08bea1c9bf4afe42d793b40/476_0_5029_3019/master/5029.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=553faee8d13c795d1bf7aabd2035f715","2021-09-15T05:34:58Z","The first insect Bryan Lessard named after a pop culture icon was the Beyoncé fly Scaptia beyonceae, in 2011.
At the time, the CSIRO entomologist caused quite a stir, and was frowned upon by some ta… [+4288 chars]"
"12","ok",20725,NA,EURACTIV,"admin","Record high power prices make case for faster green transition, EU says","Record high power prices in European Union countries show the bloc must wean itself off fossil fuels and speed up the transition to green energy, the EU's top climate change official said on Tuesday (14 September).","http://www.euractiv.com/section/electricity/news/record-high-power-prices-make-case-for-faster-green-transition-eu-says/","https://www.euractiv.com/wp-content/uploads/sites/2/2021/09/Timm-EP-14-Sept-800x450.jpg","2021-09-15T05:32:00Z","Record high power prices in European Union countries show the bloc must wean itself off fossil fuels and speed up the transition to green energy, the EU’s top climate change official said on Tuesday … [+2061 chars]"
"13","ok",20725,NA,Yahoo Entertainment,"Subsea 7 (Uk Service Co) Ltd","Subsea 7 awarded FEED contract in Norway","Luxembourg – 15 September 2021 - Subsea 7 S.A. (Oslo Børs: SUBC, ADR: SUBCY) today announced the award of a contract by Aker BP for the front-end engineering...","https://finance.yahoo.com/news/subsea-7-awarded-feed-contract-053000072.html","https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png","2021-09-15T05:30:00Z","Luxembourg 15 September2021 - Subsea 7 S.A. (Oslo Børs: SUBC, ADR: SUBCY) today announced the award of a contract by Aker BP for the front-end engineering and design (FEED) study for the NOA Fulla de… [+5858 chars]"
"14","ok",20725,NA,The Guardian,"Warren Murray","Wednesday briefing: ‘Plan B’ to protect NHS from winter surge","Warning that daily hospitalisations could reach 7,000 … Tory whips ‘threaten to short-change rebels’ constituencies’ … and the rise of the protein barGreetings from me, Warren Murray, on this first Wednesday of the week. Continue reading...","https://amp.theguardian.com/world/2021/sep/15/wednesday-briefing-plan-b-covid","https://i.guim.co.uk/img/media/724d4f5544811af7c27a6ae6721beaa3261ea8cc/0_333_5026_3017/master/5026.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=47ac1a2694e5c578675003631441ef19","2021-09-15T05:28:46Z","Top story: Masks and vaccine passports may return
Greetings from me, Warren Murray, on this first Wednesday of the week.
Between 2,000 and 7,000 people a day could be hospitalised with Covid in Eng… [+9980 chars]"
"15","ok",20725,NA,Jamaica Observer,NA,"Climate resilience assessment framework developed","JAMAICA has developed a climate resilience assessment framework, which will enhance climate-related risk management, climate responsibility and financial good governance of Jamaican small and medium-sized enterprises (SMEs).The framework was developed with fi…","https://www.jamaicaobserver.com/news/climate-resilience-assessment-framework-developed_231248?profile=1470","https://www.jamaicaobserver.com/apps/pbcsi.dll/storyimage/JO/20210915/ARTICLE/309159981/AR/0/AR-309159981.jpg","2021-09-15T05:25:01Z","JAMAICA has developed a climate resilience assessment framework, which will enhance climate-related risk management, climate responsibility and financial good governance of Jamaican small and medium-… [+4258 chars]"
"16","ok",20725,NA,KENS5.com,"KATHLEEN RONAYNE and MICHAEL R. BLOOD  Associated Press","California recall fails; Gov. Gavin Newsom stays in office","The recall, which turned on Newsom's approach to the pandemic, mirrored the nation's heated political divide over COVID-19 restrictions.","https://www.kens5.com/article/news/nation-world/california-governor-recall-newsom-things-to-watch/507-81cab586-b22b-4ff5-aea7-e52a89453807","https://media.kens5.com/assets/WNEP/images/6de1d114-e84f-4f66-8015-bcbc32af67a4/6de1d114-e84f-4f66-8015-bcbc32af67a4_1140x641.jpg","2021-09-15T05:23:48Z","California Gov. Gavin Newsom on Tuesday became the second governor in U.S. history to defeat a recall aimed at kicking him out of office early, a contest the Democratic governor crafted as part of na… [+9210 chars]"
"17","ok",20725,NA,EUobserver,"Eszter Zalan","[Analysis] Von der Leyen's moment to step up her own game","""It is the opportunity she has to seize now to set the course for the remainder of her mandate,"" said Georg Riekeles from the European Policy Centre.","https://euobserver.com/world/152915","https://s3.eu-central-1.amazonaws.com/euobs-media/1cd567e25ee6584e767d05ce1967047b-480x.jpg","2021-09-15T05:08:51Z","""The state of the European Union? Could have been much worse,"" quipped Belgian Green MEP Philip Lamberts at a Strasbourg press briefing on Tuesday (14 September), a day before EU Commission president… [+5643 chars]"
"18","ok",20725,NA,EUobserver,"EUobserver","[Ticker] UN calls for major farm subsidy reform to tackle climate","A UN report on Tuesday revealed that the majority of the nearly €467bn annual global subsidies given to farmers are ""harmful"" for the climate and health, the Guardian reported. Livestock and food production, the biggest sources of emissions, receive most stat…","https://euobserver.com/tickers/152913","https://s3.eu-central-1.amazonaws.com/euobs-media/6e5f90e3e78121ba09aefe7419b47a16-480x.jpg","2021-09-15T05:07:23Z","A UN report on Tuesday revealed that the majority of the nearly €467bn annual global subsidies given to farmers are ""harmful"" for the climate and health, the Guardian reported. Livestock and food pro… [+231 chars]"
"19","ok",20725,NA,AllAfrica - Top Africa News,"This Day","Africa: Osinbajo - Developed Nations Preventing Gas Investment in Africa","[This Day] Vice President Yemi Osinbajo has raised the alarm over international conspiracy to stifle development of gas projects in Africa by the developed world.","https://allafrica.com/stories/202109150036.html","https://cdn08.allafrica.com/static/images/structure/aa-logo-rgba-no-text-square.png","2021-09-15T05:07:03Z","Vice President Yemi Osinbajo has raised the alarm over international conspiracy to stifle development of gas projects in Africa by the developed world.
Speaking yesterday during a virtual conference… [+2908 chars]"
"20","ok",20725,NA,AllAfrica - Top Africa News,"This Day","Nigeria: Buhari Rallies Banking Sector Support to Lift Nigerians Out of Poverty","[This Day] President Muhammadu Buhari yesterday urged the banking and financial services sector to play stronger roles in ensuring that small and medium-sized enterprises (SMEs) become ""fit for purpose"" as well as provide them full support to excel.","https://allafrica.com/stories/202109150035.html","https://cdn08.allafrica.com/static/images/structure/aa-logo-rgba-no-text-square.png","2021-09-15T05:07:00Z","President Muhammadu Buhari yesterday urged the banking and financial services sector to play stronger roles in ensuring that small and medium-sized enterprises (SMEs) become ""fit for purpose"" as well… [+12585 chars]"
